Passenger_Count,Start_Lon,Start_Lat,End_Lon,End_Lat
6,-73.947882,40.783187,-73.992427,40.758233
6,-73.971203,40.764857,-74.002373,40.723998
6,-73.961088,40.760665,-73.954203,40.763993
6,-73.95892,40.763838,-74.012538,40.707823
6,-73.991142,40.739468,-73.997138,40.733572
6,-73.983617,40.743835,-73.991368,40.717587
6,-73.976462,40.757558,-73.986187,40.729548
6,-73.985755,40.735222,-73.98088,40.74213
6,-74.006215,40.70633,-73.94808,40.77453
6,-73.99821,40.682182,-73.982582,40.747513
6,-73.960542,40.772867,-73.996568,40.732023
6,-73.994312,40.750925,-73.993982,40.721628
6,-74.002487,40.739668,-73.790643,40.644195
6,-73.978395,40.752362,-73.998682,40.763842
6,-73.982542,40.74183,-73.983645,40.742267
6,-73.977453,40.74836,-73.904712,40.874773
6,-73.984358,40.72897,-73.904063,40.771262
6,-73.954495,40.778255,-73.949172,40.706745
6,-73.989672,40.729178,-73.854383,40.72745
6,-73.958728,40.774837,-74.002335,40.729207
6,-73.987837,40.760095,-73.966757,40.803857
6,-73.970565,40.784012,-73.973327,40.750638
6,-73.996248,40.694498,-73.974687,40.759222
6,-73.923313,40.793248,-73.94283,40.823117
6,-73.972197,40.786488,-73.994957,40.75016
6,-73.982608,40.739755,-73.972703,40.693228
6,-73.96086,40.75378,-73.951802,40.755208
6,-73.996197,40.738143,-73.971157,40.787918
6,-73.972302,40.764035,-73.971355,40.75773
6,-73.990747,40.756105,-73.977698,40.75552
6,-73.967325,40.773027,-73.951975,40.768305
6,-73.991688,40.72655,-74.003795,40.720845
6,-73.973988,40.738218,-73.983595,40.745698
6,-73.99253,40.694182,-73.982702,40.750007
6,-73.967987,40.787195,-74.008613,40.704237
6,-74.010805,40.713355,-73.861847,40.768448
6,-73.963512,40.757292,-73.854323,40.724007
6,-73.982738,40.772168,-73.972005,40.757032
6,-73.996393,40.685987,-74.003727,40.736762
6,-73.781428,40.644907,-73.99099,40.740647
6,-73.972185,40.789912,-73.987238,40.738542
6,-73.98368,40.753158,-73.87276,40.774308
6,-73.992475,40.745908,-73.96533,40.765495
6,-73.987653,40.719597,-73.975987,40.718972
6,-73.981493,40.755498,-73.998933,40.732362
6,-73.947305,40.787765,-73.936962,40.804222
6,-73.960858,40.776045,-73.965288,40.759173
6,-73.993912,40.740945,-73.95336,40.664007
6,-73.976787,40.727182,-73.976782,40.727082
6,-73.989088,40.776798,-74.001893,40.729503
6,-73.9828,40.766865,-73.87328,40.774357
6,-74.01467,40.718105,-73.976468,40.75928
6,-73.91892,40.759033,-73.815028,40.795067
6,-73.789642,40.647098,-73.789667,40.647083
6,-73.971632,40.75031,-73.981653,40.736622
6,-73.993698,40.741567,-73.994978,40.747213
6,-73.978987,40.783445,-73.989648,40.729398
6,-73.863265,40.770083,-73.973782,40.751262
6,-73.987788,40.741448,-73.87188,40.774167
6,-73.977718,40.757228,-73.981473,40.749915
6,-73.9925,40.764147,-73.9925,40.764147
6,-74.016335,40.710238,-74.002678,40.759258
6,-73.982995,40.762712,-73.78595,40.638813
6,-73.955782,40.779858,-73.962897,40.76972
6,-73.987692,40.748062,-73.977948,40.75243
6,-73.997015,40.732703,-73.998157,40.735642
6,-73.97027,40.799225,-73.985252,40.723802
6,-73.782867,40.648743,-73.833538,40.670827
6,-73.862785,40.768988,-73.9947,40.732392
6,-73.943872,40.776263,-73.957573,40.774335
6,-73.979133,40.761273,-73.870447,40.773948
6,-74.001692,40.719232,-73.987618,40.76859
6,-73.99113,40.73947,-73.914497,40.755018
6,-73.9827,40.775658,-73.981018,40.780987
6,-73.97135,40.76274,-73.984088,40.759355
6,-73.994133,40.751057,-73.978085,40.753122
6,-74.000072,40.725233,-73.978803,40.740622
6,-73.992878,40.742643,-73.984798,40.742007
6,-73.980925,40.784487,-73.977648,40.753565
6,-73.995368,40.68815,-73.973272,40.761805
6,-73.975377,40.741453,-73.934412,40.851167
6,-73.983318,40.722152,-73.975898,40.677207
6,-73.978837,40.740703,-73.991862,40.77011
6,-74.006938,40.7284,-73.986298,40.77863
6,-73.99122,40.739368,-73.994453,40.73483
6,-73.98801,40.719983,-73.994655,40.703533
6,-73.984545,40.717152,-73.93371,40.736023
6,-73.954423,40.76571,-73.985595,40.73105
6,-73.86286,40.768825,-73.865545,40.907372
6,-73.989165,40.775483,-73.980678,40.735573
6,-73.98366,40.762903,-73.98775,40.746627
6,-73.8628,40.769032,-73.991153,40.76526
6,-73.980187,40.748367,-73.786537,40.638898
6,-74.012132,40.703027,-73.951858,40.786312
6,-73.954648,40.77399,-73.99205,40.742622
6,-73.862635,40.76899,-73.983917,40.76149
6,-73.991688,40.738452,-73.980872,40.789218
6,-73.979822,40.751185,-73.965572,40.75616
6,-73.965918,40.754643,-73.969623,40.761685
6,-73.968862,40.76479,-73.964765,40.766822
6,-73.992148,40.74862,-73.988438,40.751565
6,-74.001967,40.727923,-73.968905,40.770135
6,-73.954738,40.732153,-73.880327,40.741422
6,-73.894343,40.781205,-73.898825,40.76989
6,-73.992192,40.74954,-74.017033,40.70455
6,-73.97679,40.752582,-73.97679,40.752572
6,-73.991877,40.738638,-74.004142,40.70761
6,-73.989263,40.721365,-73.981908,40.76392
6,-73.989163,40.753147,-73.98766,40.72158
6,-73.978968,40.74057,-73.980623,40.733757
6,-73.985863,40.726748,-73.955943,40.813082
6,-73.991327,40.733153,-73.980945,40.72536
6,-73.975333,40.752458,-73.989315,40.726297
6,-74.011712,40.703753,-73.994658,40.746183
6,-73.981558,40.758985,-73.962212,40.773552
6,-73.989853,40.734493,-73.947558,40.726792
6,-73.961413,40.760557,-73.964557,40.68301
6,-74.004193,40.733442,-74.009618,40.710108
6,-74.002952,40.727532,-73.996185,40.738445
6,-73.989468,40.762937,-73.996835,40.755708
6,-73.985692,40.735203,-73.973135,40.752558
6,-73.973845,40.756168,-73.988988,40.734133
6,-73.9916,40.735153,-73.994587,40.750417
6,-73.989853,40.740765,-73.978983,40.750333
6,-73.975153,40.741873,-73.976368,40.788897
6,-73.947117,40.722712,-73.947077,40.722662
6,-73.97204,40.782152,-73.985807,40.73115
6,-74.004393,40.723583,-74.003748,40.681545
6,-73.826728,40.699263,-73.826713,40.699253
6,-73.947347,40.774253,-73.974207,40.755922
6,-73.946963,40.77618,-73.99011,40.75139
6,-74.004175,40.730377,-73.955253,40.779997
6,-73.980143,40.746523,-73.956542,40.746583
6,-73.99401,40.746463,-73.911133,40.764672
6,-73.992247,40.768262,-73.98569,40.774667
6,-74.007037,40.707748,-73.995358,40.721523
6,-73.966222,40.75828,-73.955785,40.776273
6,-73.969925,40.758822,-73.972407,40.75247
6,-73.979475,40.758743,-73.995458,40.744097
6,-73.99331,40.74207,-74.004093,40.72246
6,-73.968747,40.767412,-73.95659,40.783925
6,-73.978238,40.773805,-73.956698,40.780777
6,-73.973105,40.764392,-73.950382,40.77965
6,-73.977802,40.749792,-73.986458,40.755602
6,-73.991187,40.730017,-73.97656,40.739222
6,-73.98858,40.75439,-73.995058,40.755228
6,-73.979718,40.776198,-73.968567,40.764685
6,-73.988762,40.759742,-73.981152,40.787695
6,-73.998502,40.681683,-73.991575,40.702525
6,-73.963987,40.767665,-73.958362,40.765293
6,-73.9857,40.758612,-73.98131,40.752038
6,-73.95313,40.782693,-73.956727,40.766477
6,-73.961952,40.768018,-73.95827,40.760463
6,-73.993393,40.758678,-74.006605,40.74417
6,-73.963905,40.761427,-73.955415,40.78782
6,-73.986242,40.761655,-73.973085,40.789387
6,-73.981683,40.74964,-74.000195,40.720568
6,-73.972873,40.748672,-73.96724,40.760498
6,-73.983073,40.761157,-73.991308,40.750325
6,-73.994325,40.739082,-73.991288,40.760403
6,-74.003948,40.723638,-74.011178,40.712952
6,-73.98301,40.771563,-73.990537,40.761193
6,-73.982217,40.740273,-73.972222,40.755677
6,-73.976588,40.756557,-73.955843,40.774483
6,-73.990023,40.735337,-73.985607,40.741415
6,-73.95904,40.763425,-73.96522,40.762588
6,-73.963675,40.761382,-73.979735,40.758558
6,-73.952992,40.783163,-73.9648,40.772773
6,-73.980522,40.73854,-73.990553,40.742038
6,-73.95349,40.785197,-73.971537,40.755187
6,-73.955925,40.772167,-73.986057,40.756918
6,-73.96495,40.775062,-73.970042,40.762257
6,-73.985608,40.765723,-73.958758,40.767225
6,-74.00103,40.747075,-74.002522,40.737797
6,-73.982113,40.727977,-74.003195,40.727385
6,-73.972875,40.752757,-73.991702,40.750665
6,-73.897727,40.753873,-73.897727,40.753873
6,-73.961287,40.760693,-73.981238,40.774527
6,-73.992057,40.755623,-73.98811,40.75272
6,-73.953047,40.780177,-73.944908,40.791078
6,-73.994457,40.734787,-74.00072,40.728948
6,-73.961353,40.796275,-73.968262,40.799425
6,-73.92261,40.687287,-73.935635,40.677953
6,-73.969145,40.758227,-73.979527,40.746677
6,-73.954898,40.777638,-73.970957,40.761032
6,-73.992058,40.76402,-73.992058,40.76402
6,-73.988367,40.754818,-73.98663,40.744103
6,-73.980248,40.783693,-73.976755,40.753942
6,-73.990612,40.724533,-74.00167,40.729395
6,-73.97096,40.767105,-73.954977,40.78814
6,-73.983488,40.765632,-73.97729,40.753667
6,-73.999532,40.743632,-73.986883,40.75609
6,-73.937112,40.75823,-73.937132,40.758392
6,-74.007828,40.725157,-73.981773,40.75321
6,-73.980312,40.765777,-73.976655,40.777398
6,-74.002177,40.729407,-74.00559,40.74106
6,-73.976023,40.758847,-73.97554,40.751948
6,-73.947767,40.77081,-73.955357,40.779377
6,-73.982975,40.74513,-73.99243,40.749412
6,-73.962422,40.763062,-73.978668,40.756533
6,-73.964085,40.757147,-73.969233,40.753598
6,-73.965985,40.770217,-73.96831,40.76883
6,-73.991757,40.726578,-73.989952,40.735147
6,-73.978883,40.761883,-73.990507,40.771935
6,-73.986467,40.760022,-73.97245,40.756513
6,-73.949698,40.771922,-73.95145,40.782628
6,-74.004153,40.753408,-73.985242,40.7595
6,-73.986647,40.738715,-73.974463,40.758793
6,-73.988388,40.743845,-73.98544,40.747928
6,-73.99232,40.74985,-73.979735,40.756728
6,-74.005525,40.738665,-73.993693,40.721052
6,-73.998573,40.723412,-74.012782,40.70242
6,-73.962252,40.77921,-73.984655,40.76915
6,-74.008083,40.738882,-74.009962,40.703477
6,-73.980845,40.742742,-73.991435,40.765182
6,-73.943443,40.789173,-73.973442,40.74792
6,-73.968575,40.750483,-73.962685,40.741933
6,-73.995763,40.724668,-73.981918,40.732275
6,-73.978802,40.777443,-73.990077,40.76167
6,-73.956505,40.778395,-73.965985,40.76513
6,-73.997568,40.73636,-74.009413,40.72402
6,-73.956108,40.787417,-73.971957,40.76563
6,-73.974698,40.741933,-73.988162,40.742992
6,-73.97335,40.747812,-73.987398,40.748832
6,-74.011402,40.714052,-74.011187,40.70221
6,-73.964872,40.772513,-73.956008,40.771103
6,-73.960907,40.769948,-73.975512,40.76373
6,-73.991963,40.743792,-74.00046,40.737217
6,-73.981508,40.746467,-73.988793,40.754368
6,-74.006175,40.743703,-73.9933,40.732573
6,-73.981448,40.749867,-73.977812,40.762732
6,-73.977737,40.764728,-73.99102,40.769995
6,-73.98981,40.752657,-73.977505,40.752262
6,-73.983228,40.738163,-73.997503,40.73378
6,-73.989835,40.733478,-74.002987,40.733242
6,-73.99433,40.751497,-73.987303,40.775673
6,-73.983027,40.738833,-73.978643,40.744947
6,-73.97324,40.761215,-73.978567,40.744812
6,-73.972782,40.785578,-73.982203,40.769055
6,-73.863733,40.833278,-73.86276,40.832762
6,-73.97929,40.763653,-73.985352,40.73863
6,-73.976193,40.727707,-73.980485,40.760122
6,-73.957187,40.785723,-73.956568,40.775177
6,-73.970532,40.793418,-73.959697,40.809677
6,-73.961367,40.774785,-73.967102,40.766692
6,-73.982005,40.761185,-74.005528,40.740135
6,-73.983488,40.757557,-73.982908,40.771157
6,-74.00601,40.717572,-73.997135,40.72207
6,-73.988258,40.73192,-74.005548,40.715295
6,-74.00485,40.740717,-73.99919,40.74432
6,-73.982013,40.746123,-73.992117,40.749245
6,-73.980697,40.740448,-73.968858,40.766322
6,-73.954343,40.76403,-73.971597,40.74656
6,-73.961107,40.769092,-73.968543,40.76175
6,-73.976782,40.780115,-73.973695,40.744045
6,-73.978363,40.753047,-73.971412,40.763838
6,-73.953184,40.788587,-73.932053,40.795493
6,-73.968542,40.75197,-73.991082,40.733113
6,-73.975658,40.745625,-73.989143,40.726428
6,-73.990168,40.728737,-73.989453,40.734428
6,-73.980475,40.75653,-73.989483,40.740333
6,-73.9932,40.723527,-74.0065,40.733623
6,-74.000822,40.731903,-73.962907,40.758278
6,-73.975022,40.75589,-73.99282,40.740422
6,-74.000912,40.74621,-73.987583,40.74492
6,-73.990872,40.736385,-73.983415,40.726227
6,-73.974072,40.756332,-73.962618,40.778353
6,-73.994422,40.760988,-73.971405,40.75618
